key,value,reference value,description
hp.portal.paypal_redirect,Перенаправлення на PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,для %{no_of_terms} термінів,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Під час надсилання сталися помилки,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,"Проблема під час обробки форми. Будь ласка, перевірте дані своєї форми.",Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Первинна,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,Обліковий запис PayPal Express Checkout,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,"Цим я уповноважую та прошу %{merchant_name} списати кошти з мого (нашого) рахунку у зазначеній фінансовій установі та зарахувати кошти. Я (ми) уповноважую %{merchant_name} вжити будь-яких дій, необхідних для виправлення помилок.","I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
hp.portal.ach_agree_details2,"Натискаючи кнопку нижче, ви підтверджуєте, що інформація, яку ви надали в цій Угоді про авторизацію дебету ACH для прямих платежів, є повною, правдивою та поданою з метою, обраною вище. Він діятиме доти, доки я (ми) не повідомимо %{merchant_name}, що я (ми) хочемо відкликати цю авторизацію, зв’язавшись з %{merchant_email} або %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above. It will remain in effect until I (we) notify %{merchant_name} that I (we) wish to revoke this authorization by contacting %{merchant_email} or %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above.  It will remain in effect until I (we) notify Chargebee that I (we) wish to revoke this authorization by contacting sam@example.com or 9898982345."
hp.bank_account.desc,Банківський рахунок,Bank Account,Bank Account label
hp.portal.date,Дата,Date,Date
hp.gocardless.redirect,Перенаправлення на постачальника прямих дебетів ...,Redirecting to Direct Debit Provider...,Redirecting to Direct Debit Provider... - info
hp.billing_period.year, %{period} років,%{period} Years,2 Months
hp.copied,Скопійовано,Copied,Copied URL
hp.error.undetermined_vat_number,"Не вдалося підтвердити номер ПДВ, оскільки послуга VIES недоступна.",Could not validate VAT number as VIES service is unavailable.,Could not validate VAT number as VIES service is unavailable.
apple_pay.label.charges,ЗБОРИ,CHARGES,Label for main line item amount
payment_method.info.amazon_payments,Рахунок Amazon Payments,Amazon Payments account,Amazon Payments account
hp.clientjs.invalid_coupon_code,Недійсний код купона,Invalid coupon code,Invalid coupon code
hp.error.undetermined_abn_number,"Неможливо обробити ABN, оскільки сервер пошуку ABN не працює.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
hp.portal.ach_agreement,Угода про авторизацію ACH,ACH Authorization Agreement,ACH Authorization Agreement - Agreement label
hp.error.invalid_vat_number,Недійсний номер ПДВ,Invalid VAT Number,Invalid VAT Number
hp.portal.account,Рахунок,Account,Account user account label
hp.portal.manage,Управління,Manage,Portal account Manage label
hp.error.invalid_abn_number,Недійсний ABN,Invalid ABN ,Invalid ABN
hp.billing_period.month, %{period} місяців,%{period} Months,2 Months
action_error.get,Під час обробки вашого запиту сталися помилки,There were errors while processing your request,There were errors while processing your request
apple_pay.label.discount,ЗНИЖКИ,DISCOUNTS,Label for discount amount
hp.update_payment_method.details,Оновлення деталей способу оплати ...,Updating the payment method details...,Updating the payment method details...
payment_method.info.direct_debit_no_bank_name,"номер банківського рахунку, що закінчується %{last4_digits}",bank account number ending with %{last4_digits},
hp.paypal.desc,Більш безпечний та простий спосіб оплати,"The safer, easier way to pay","The safer, easier way to pay - one liner for paypal gateway payments"
hp.copy,Копіювати,Copy,Copy URL
hp.portal.bank_account,банківський рахунок,bank account,bank account label
